DATE,SBUX,AMZN,MKTminusRF,SMB,HML,RMW,CMA,MOM,RF
20120410,-.0111459,-.025486,-.0185,-.0046,.0011,.0021,.0008,.0018,0
20120411,.0442057,.0052947,.0085,.0082,.0008,-.0014,.0015,-.0031,0
20120412,.0226008,.0144704,.0144,.001,.0024,-.0038,-.0019,-.0135,0
20120413,.0171532,-.0116944,-.0125,-.0025,-.0049,.0053,.0011,.0137,0
20120416,,,-.0009,.002,.0077,-.0018,.0045,.0001,0
20120417,-.0165968,.0155795,.0155,.0003,-.003,-.0013,-.0035,-.0044,0
20120418,.0284692,.0142258,-.0043,-.0044,-.0045,.0041,-.001,.0058,0
20120419,-.0251948,.000157,-.0057,-.0006,.0034,-.0032,.003,-.0055,0
20120420,.0059513,-.0058609,.0011,.0048,0,.0021,.0063,.0109,0
20120423,,,-.0095,-.0051,.002,-.0003,-.0003,.001,0
20120424,-.0087091,.0111028,.0029,.0028,.0094,-.0063,.007,-.0061,0
20120425,.0249785,.021489,.0144,.0035,-.0106,.0023,-.0075,.0041,0
20120426,.0194958,.0080753,.0075,-.0002,-.0005,-.0016,-.0021,.0001,0
20120427,-.0532476,.157457,.0035,.007,-.0027,.0017,-.0016,.0037,0
20120430,,,-.0049,-.0062,.0022,-.0008,-.0014,-.0024,0
20120501,,,.0048,-.0075,.0046,-.001,.0005,-.0058,0
20120502,.0045092,.0009129,-.0015,.0066,-.0064,.005,.0029,.0116,0
20120503,-.0219267,-.0034745,-.0092,-.0065,.0013,.0041,.0032,.0095,0
20120504,-.019241,-.023796,-.0162,-.0022,.0029,.0006,.0015,.0026,0
20120507,,,.0004,.0015,.0046,-.0031,.003,-.0002,0
20120508,-.0232516,-.0055961,-.0041,.0032,.0045,.0003,.0026,.0018,0
20120509,-.0016608,-.004109,-.0062,.0014,-.0024,.0001,-.0011,.001,0
20120510,.0138632,.0166383,.0029,.0008,.0063,-.0006,.0052,.008,0
20120511,.002917,.0043672,-.0029,.001,-.0089,-.0001,-.0007,.0056,0
20120514,,,-.0114,-.0017,0,.0003,.0008,.0026,0
20120515,-.0061486,.0065492,-.0052,.005,-.0018,.0038,.0002,.0117,0
20120516,-.0059992,-.0014707,-.0044,-.0023,-.0037,.0054,.0024,.0088,0
20120517,-.0254621,-.0254396,-.0164,-.0054,.0048,-.0002,-.0005,-.0013,0
20120518,-.0027095,-.0206539,-.008,-.0021,.0027,.0007,.0037,.0061,0
20120521,,,.0169,.0058,-.0117,-.0007,-.0065,-.0065,0
20120522,-.0061453,-.0127459,0,-.008,.0029,-.0007,.0001,.0046,0
20120523,.0359753,.0090559,.0026,.0051,-.0031,.0006,-.001,-.0042,0
20120524,-.0095859,-.0093888,.0016,.0002,.0021,.0023,.0056,.0076,0
20120525,-.0036522,-.0109181,-.0016,.0024,-.0007,.0014,.0013,-.0053,0
20120529,,,.0114,.0021,-.0005,-.0019,-.0006,-.0081,0
20120530,-.0152933,-.0257043,-.0147,-.0032,-.0021,.0056,-.0003,.0122,0
20120531,.0029234,.0175883,-.0023,.002,.0053,-.0014,.0024,.002,0
20120601,,,-.026,-.0061,.0046,-.0007,.0006,-.0002,0
20120604,,,-.0005,.0005,-.0048,.0031,-.0041,.0044,0
20120605,-.0276438,-.0063383,.0068,.0033,0,-.005,-.0005,-.0096,0
20120606,.0202252,.0207776,.0232,.0015,.0017,-.0041,-.0014,-.01,0
20120607,-.0005611,.0053299,-.001,-.0046,.0017,0,.0025,.0039,0
20120608,.0028069,-.0014626,.0085,.0024,-.0006,-.0006,.001,.0037,0
20120611,,,-.014,-.0085,.0013,.0033,.0032,.0097,0
20120612,.003975,-.0003695,.0116,.0017,-.0003,-.0023,0,-.0037,0
20120613,-.033371,-.0078089,-.0077,-.0044,.0034,.0013,.0008,.0032,0
20120614,.0206749,-.001304,.0104,.0022,.0034,-.0009,.0037,.0004,0
20120615,.004013,.0181861,.0107,.0013,-.0015,-.001,-.0044,-.008,0
20120618,,,.0021,.0008,-.008,.002,-.0018,.0077,0
20120619,.0173496,.0061529,.0109,.0071,.0007,-.0025,-.0032,-.0113,0
20120620,.009434,-.0045083,-.0014,-.0007,0,.0004,-.0003,-.004,0
20120621,-.0282171,-.0109855,-.0226,-.001,.0017,.0001,.0067,.0129,0
20120622,.0105419,.0072086,.0079,.0064,.0004,-.003,-.0012,-.0018,0
20120625,,,-.0162,.0004,-.0002,.0032,.002,.0115,0
20120626,.0123851,.0251738,.0052,-.001,-.0002,-.001,.0004,.0037,0
20120627,-.0222428,.0000443,.0092,.004,.004,-.0056,0,-.0095,0
20120628,-.0125118,-.0191029,-.0024,.0016,.0058,.0006,.0051,-.0056,0
20120629,.023613,.0318106,.0255,.0034,-.0078,-.0021,-.006,-.0116,0
20120702,,,.0033,.0069,-.0001,-.0029,.0019,.0084,0
20120703,-.0161016,.0009157,.0076,.0074,.0011,.0018,-.006,-.0132,0
20120705,,,-.0036,.0043,-.0088,.0054,-.0026,.0065,0
20120706,-.0082061,-.0088523,-.0099,-.004,.0041,-.0003,.0066,.0112,0
20120709,,,-.0023,-.0026,-.0026,.0015,-.0001,.011,0
20120710,-.0009544,-.0246612,-.0084,-.0041,.0034,-.0002,.0029,.0096,0
20120711,-.0034391,-.0051481,-.0008,-.0028,.0085,-.0018,.0005,-.0049,0
20120712,.0099693,-.0137839,-.005,.0012,-.0065,-.0021,.0006,.0086,0
20120713,.0176538,.0140695,.0162,-.0026,.0047,-.0006,.0004,-.0028,0
20120716,,,-.0031,-.0043,-.0023,.0006,-.0001,.003,0
20120717,.0156899,.0042591,.0067,-.0052,.0033,-.0014,.0018,-.0017,0
20120718,-.008003,.0024893,.0071,.0023,-.0088,.0041,-.0069,-.0038,0
20120719,.0168856,.0400055,.0027,-.0046,-.0104,.0052,-.0082,-.0037,0
20120720,-.0413284,.0093735,-.0106,-.0038,.0022,-.0019,.0033,.0027,0
20120723,,,-.0102,-.0066,.0018,.0009,.0037,.0051,0
20120724,-.0023715,-.013141,-.0099,-.0056,.002,-.0019,.001,.0099,0
20120725,-.0013867,-.0268561,-.0001,.0025,-.0005,-.0029,.0007,-.0012,0
20120726,.0394763,.0136374,.0153,-.008,.003,-.0002,.0023,-.0066,0
20120727,-.094084,.0786783,.0196,.0058,.0009,-.0019,-.0035,-.0096,0
20120730,,,-.0013,-.0041,.0038,.0009,.003,.0005,0
20120731,-.0341297,-.0118175,-.0047,.0004,.0015,.0045,-.0005,-.0006,0
20120801,,,-.005,-.0153,.0034,.0016,.0016,-.0004,0
20120802,-.0141617,-.0055151,-.0069,.0015,-.0031,-.0008,.001,.0122,0
20120803,.0173772,.0180235,.0199,.0063,.0041,-.0025,-.0018,-.0074,0
20120806,,,.0034,.0057,.0007,-.0022,-.002,-.0089,0
20120807,.0420884,.0109833,.0064,.0043,-.0002,.0022,-.0048,-.0141,0
20120808,-.0004414,-.0092154,.0009,-.0018,.0055,.0017,.0044,-.0013,0
20120809,-.0039744,-.0013653,.0012,.0034,.0011,-.003,-.0041,-.008,0
20120810,.0101973,-.0055968,.0017,-.0035,-.0003,.0008,.0007,-.0029,0
20120813,,,-.0014,-.0018,-.0005,-.0008,.0006,.0049,0
20120814,.0069399,.0032266,-.0003,-.0044,-.0001,.0018,.0024,.0073,0
20120815,.0359681,.0181397,.0027,.0072,-.0012,-.0003,-.0009,-.0019,0
20120816,.0062371,.0173954,.0075,.005,-.0024,.001,-.0021,-.0063,0
20120817,-.003719,-.0015732,.0027,.006,.0003,0,-.0013,.0009,0
20120820,,,-.0006,-.0043,.0055,-.0021,.0015,-.0013,0
20120821,.0008325,-.0037446,-.0031,.0019,.0032,-.0001,-.0006,-.0057,0
20120822,.0006238,.0152433,0,-.005,-.0032,-.0015,-.0033,.0038,0
20120823,-.0045718,-.0078158,-.0078,-.0007,-.004,-.0017,.0011,.0047,0
20120824,.0167014,.0188226,.0061,-.0029,-.0006,-.0009,.0018,.0023,0
20120827,,,-.0006,.0013,-.001,.0005,-.0015,.006,0
20120828,.004477,.0089784,.0001,.0056,-.0013,-.0003,-.0001,.0008,0
20120829,-.0038493,.0041038,.0015,.0028,.0001,-.0007,.0013,.0009,0
20120830,.0109823,-.0036419,-.008,-.0044,0,-.0001,.0024,.0042,0
20120831,-.0020116,.0083259,.0052,-.0005,-.0004,-.0004,-.0031,-.0044,0
20120904,,,.0008,.0091,-.0015,-.0031,.001,.0075,0
20120905,.0058574,-.0066968,-.0005,-.0005,.0027,-.0006,.0004,-.0043,0
